target_ID	TAR_ID	drugbank_ID	target_name	kegg
290	TAR00290	824	Sodium-dependent serotonin transporter	
291	TAR00291	827	Sodium/hydrogen exchanger 1	
292	TAR00292	831	D(2) dopamine receptor	
293	TAR00293	834	Arginase II, mitochondrial	
294	TAR00294	835	Thromboxane A2 receptor	
295	TAR00295	837	Glutamate [NMDA] receptor subunit epsilon 1	
296	TAR00296	838	Inosine-5'-monophosphate dehydrogenase 1	
297	TAR00297	842	Chloride channel protein 2	
298	TAR00298	844	Epidermal growth factor receptor	
299	TAR00299	847	Mu-type opioid receptor	
300	TAR00300	850	Vasopressin V1b receptor	
301	TAR00301	852	Heparin cofactor II	
302	TAR00302	853	Farnesyl pyrophosphate synthetase	
303	TAR00303	854	Methylmalonyl-CoA mutase	
304	TAR00304	856	Vitamin D receptor	
305	TAR00305	861	Choline kinase	
306	TAR00306	862	Multidrug resistance-associated protein 1	
307	TAR00307	869	Estrogen receptor beta	
308	TAR00308	871	Glucocorticoid receptor	
309	TAR00309	872	Gamma-aminobutyric acid receptor subunit alpha-1	
310	TAR00310	885	5-hydroxytryptamine 1B receptor	
312	TAR00312	890	Niemann-Pick C1-like protein 1	
313	TAR00313	906	Glutathione peroxidase	
314	TAR00314	916	Metabotropic glutamate receptor 1	
315	TAR00315	925	Metabotropic glutamate receptor 4	
316	TAR00316	926	Metabotropic glutamate receptor 7	
317	TAR00317	927	Metabotropic glutamate receptor 8	
318	TAR00318	929	Maltase-glucoamylase, intestinal	
319	TAR00319	933	Proto-oncogene tyrosine-protein kinase SRC	
320	TAR00320	934	Proto-oncogene tyrosine-protein kinase Fyn	
321	TAR00321	935	Proto-oncogene tyrosine-protein kinase Yes	
322	TAR00322	936	Ephrin type-A receptor 2	
323	TAR00323	937	Proto-oncogene tyrosine-protein kinase LCK	
324	TAR00324	940	Oxytocin receptor	
325	TAR00325	942	T-lymphocyte activation antigen CD86	
326	TAR00326	944	T-lymphocyte activation antigen CD80	
327	TAR00327	945	Adrenocorticotropic hormone receptor	
328	TAR00328	947	Neuronal acetylcholine receptor protein, alpha-4 chain	
329	TAR00329	948	Neuronal acetylcholine receptor protein, beta-2 chain	
330	TAR00330	950	Alpha platelet-derived growth factor receptor	
331	TAR00331	951	Macrophage colony-stimulating factor receptor	
332	TAR00332	952	Dipeptidyl peptidase IV	
333	TAR00333	955	Complement C5	
334	TAR00334	957	Glucagon-like peptide 1 receptor	
335	TAR00335	958	Insulin-like growth factor I receptor	
336	TAR00336	964	Voltage-dependent T-type calcium channel subunit alpha-1H	
337	TAR00337	990	Dual specificity mitogen-activated protein kinase kinase 1	
338	TAR00338	997	Protein kinase C, beta type	
339	TAR00339	1008	CTP synthase	
340	TAR00340	1010	Fungal Cytochrome P450 51	
341	TAR00341	1016	Lysosomal alpha-glucosidase	
342	TAR00342	1017	mRNA of C-reactive protein	
343	TAR00343	1043	Glycinamide ribonucleotide formyltransferase	
344	TAR00344	1052	Cytotoxic T-lymphocyte protein 4	
345	TAR00345	1058	Cell division protein kinase 5	
346	TAR00346	1074	Urokinase-type plasminogen activator	
347	TAR00347	1086	Potassium voltage-gated channel subfamily KQT member 2	
348	TAR00348	1129	C-C chemokine receptor type 5	
349	TAR00349	1144	Hepatocyte growth factor receptor	
350	TAR00350	1152	Glycogen phosphorylase, muscle form	
351	TAR00351	1159	Interleukin-6	
352	TAR00352	1162	C-X-C chemokine receptor type 4	
353	TAR00353	1167	Interstitial collagenase	
354	TAR00354	1176	Mitogen-activated protein kinase 1	
355	TAR00355	1178	Adenosine A2a receptor	
356	TAR00356	1193	Proteinase activated receptor 1	
357	TAR00357	1198	Serum paraoxonase/arylesterase 1	
358	TAR00358	1209	Small inducible cytokine B10	
359	TAR00359	1224	Intrinsic factor-B12 receptor	
360	TAR00360	1227	Cytochrome B	
361	TAR00361	1233	Cathepsin B	
362	TAR00362	1236	Sodium- and chloride-dependent glycine transporter 1	
363	TAR00363	1243	Cathepsin D	
364	TAR00364	1244	Low-density lipoprotein receptor-related protein 2	
365	TAR00365	1253	Interferon gamma	
366	TAR00366	1256	5-hydroxytryptamine 6 receptor	
367	TAR00367	1262	Corticotropin-lipotropin	
368	TAR00368	1269	Tumor necrosis factor receptor superfamily member 1B	
369	TAR00369	1274	Soluble epoxide hydrolase	
370	TAR00370	1277	Alpha-1-antitrypsin	
371	TAR00371	1284	Pregnane X receptor	
372	TAR00372	1286	mRNA of Eukaryotic translation initiation factor 4E	
373	TAR00373	1291	CAMP response element binding protein	
374	TAR00374	1295	Fatty acid synthase	
375	TAR00375	1302	Dihydropyrimidine dehydrogenase [NADP+]	
376	TAR00376	1313	Lactoylglutathione lyase	
377	TAR00377	1330	Collagenase 3	
378	TAR00378	1341	Histamine H3 receptor	
379	TAR00379	1350	Insulin-like growth factor binding protein 3	
380	TAR00380	1353	DNA topoisomerase I	
381	TAR00381	1362	Metabotropic glutamate receptor 2	
382	TAR00382	1372	Insulin receptor substrate-1	
383	TAR00383	1373	Glucosylceramidase	
384	TAR00384	1387	Inositol-1(or 4)-monophosphatase	
385	TAR00385	1389	Transforming growth factor beta 1	
386	TAR00386	1392	Beta-catenin	
387	TAR00387	1406	Beta-secretase	
388	TAR00388	1422	Aurora kinase A	
389	TAR00389	1435	Synaptic vesicle glycoprotein 2A	
390	TAR00390	1439	Lactotransferrin	
391	TAR00391	1448	FMLP receptor	
392	TAR00392	1465	Atrial natriuretic peptide receptor B	
393	TAR00393	1467	Tumor necrosis factor ligand superfamily member 13B	
394	TAR00394	1483	Membrane copper amine oxidase	
395	TAR00395	1485	Ubiquitin-protein ligase E3 Mdm2	
396	TAR00396	1502	Peroxisome proliferator activated receptor delta	
397	TAR00397	1514	Cathepsin G	
398	TAR00398	1517	Beta-3 adrenergic receptor	
399	TAR00399	1524	Peptidyl-prolyl cis-trans isomerase A	
400	TAR00400	1525	Heparin-binding growth factor 2	
401	TAR00401	1531	Rho-associated protein kinase 1	
402	TAR00402	1540	Mitogen-activated protein kinase 14	
403	TAR00403	1547	mRNA of Factor XI	
404	TAR00404	1558	Transient receptor potential cation channel subfamily V member 1	
405	TAR00405	1561	Troponin C	
406	TAR00406	1566	Corticoliberin	
407	TAR00407	1569	G1/S-specific cyclin D1	
408	TAR00408	1588	Multidrug resistance protein 1	
409	TAR00409	1591	Ferrochelatase	
410	TAR00410	1596	Protein-glutamine gamma-glutamyltransferase	
411	TAR00411	1603	Interleukin 3 receptor	
412	TAR00412	1615	Chymase	
413	TAR00413	1618	High affinity nerve growth factor receptor	
414	TAR00414	1629	Transcription factor AP-1	
415	TAR00415	1630	Integrin beta-2	
416	TAR00416	1635	Von Willebrand factor	
417	TAR00417	1649	C-C motif chemokine 2	
418	TAR00418	1654	Interleukin-1 beta	
419	TAR00419	1673	GTP cyclohydrolase I	
420	TAR00420	1675	Hexokinase D	
421	TAR00421	1714	Mitogen-activated protein kinase 3	
422	TAR00422	1721	Glycogen synthase kinase-3 beta	
423	TAR00423	1729	Organic anion transporter 1	
424	TAR00424	1735	Multidrug resistance-associated protein 2	
425	TAR00425	1736	Somatostatin	
426	TAR00426	1737	Protein-tyrosine phosphatase, non-receptor type 11	
427	TAR00427	1756	E-selectin	
428	TAR00428	1757	Myeloperoxidase	
429	TAR00429	1758	mRNA of H-ras	
430	TAR00430	1760	Aminopeptidase N	
431	TAR00431	1771	Cell division control protein 2 homolog	
432	TAR00432	1783	mRNA of Intercellular adhesion molecule-1	
433	TAR00433	1789	Lymphotoxin alpha	
434	TAR00434	1792	Tissue-type plasminogen activator	
435	TAR00435	1799	Glucose-6-phosphate dehydrogenase	
436	TAR00436	1827	Gap junction alpha-1 protein	
437	TAR00437	1830	5'-Nucleotidase	
438	TAR00438	1836	Mitogen-activated protein kinase 10	
439	TAR00439	1867	Major prion protein	
440	TAR00440	1908	Vascular cell adhesion protein 1	
441	TAR00441	1926	Stromelysin-1	
442	TAR00442	1928	Leukotriene C4 synthase	
443	TAR00443	1932	Apolipoprotein E	
444	TAR00444	1939	Heat shock protein HSP 90	
445	TAR00445	1943	Hepatocyte growth factor	
446	TAR00446	1944	Transient receptor potential cation channel subfamily A member 1	
447	TAR00447	1949	Carboxypeptidase H	
448	TAR00448	1953	Proto-oncogene protein c-fos	
449	TAR00449	1958	5'-methylthioadenosine phosphorylase	
450	TAR00450	1970	Protein kinase C, alpha type	
451	TAR00451	1971	CAMP-specific 3',5'-cyclic phosphodiesterase 4A	
452	TAR00452	1995	Voltage-gated sodium channel subunit alpha Nav1.7	
453	TAR00453	1999	Methylated-DNA--protein-cysteine methyltransferase	
454	TAR00454	2016	Dehydropeptidase I	
455	TAR00455	2018	Deoxyhypusine synthase	
456	TAR00456	2020	Stromal cell-derived factor 1	
457	TAR00457	2021	Thrombomodulin	
458	TAR00458	2038	Inhibitor of nuclear factor kappa B kinase beta subunit	
459	TAR00459	2039	Integrin beta-3	
